country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","15-07-2026 16:00:00",28.54246,77.191651,CO,23,28,25
India,Delhi,Delhi,"DTU, Delhi - CPCB","15-07-2026 16:00:00",28.7500499,77.1112615,OZONE,18,45,29
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","15-07-2026 16:00:00",28.60909,77.0325413,PM2.5,69,199,113
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","15-07-2026 16:00:00",28.60909,77.0325413,OZONE,15,24,18
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","15-07-2026 16:00:00",28.5710274,77.0719006,NO2,18,53,33
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","15-07-2026 16:00:00",28.5710274,77.0719006,NH3,5,11,7
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","15-07-2026 16:00:00",28.647622,77.315809,PM2.5,70,195,124
India,Delhi,Delhi,"North Campus, DU, Delhi - IITM","15-07-2026 16:00:00",28.6573814,77.1585447,PM2.5,1,334,91
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","15-07-2026 16:00:00",28.699793,77.165453,OZONE,17,18,18
India,Delhi,Delhi,"Mundka, Delhi - DPCC","15-07-2026 16:00:00",28.684678,77.076574,PM10,88,278,155
India,Delhi,Delhi,"Mundka, Delhi - DPCC","15-07-2026 16:00:00",28.684678,77.076574,NO2,75,100,85
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","15-07-2026 16:00:00",28.570173,76.933762,PM2.5,15,70,37
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","15-07-2026 16:00:00",28.570173,76.933762,NO2,14,30,19
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","15-07-2026 16:00:00",22.12665,83.483212,CO,22,32,27
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","15-07-2026 16:00:00",22.1910172,83.5197009,CO,4,27,16
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","15-07-2026 16:00:00",21.258815,81.578979,CO,17,21,19
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","15-07-2026 16:00:00",21.219665,81.630094,PM10,7,443,64
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","15-07-2026 16:00:00",21.219665,81.630094,NH3,2,2,2
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","15-07-2026 16:00:00",21.237755,81.705301,PM2.5,11,29,19
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","15-07-2026 16:00:00",21.237755,81.705301,NO2,3,15,8
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","15-07-2026 16:00:00",22.06631475,83.33820077,NH3,NA,NA,NA
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","15-07-2026 16:00:00",22.06631475,83.33820077,SO2,NA,NA,NA
